Bairro,Candidato,Votos
BARRA NOVA,13222 FÁBIA NAPOLEAO,4
BARRA NOVA,22100 NÚBIA DO ABRIGO MASCOTINHO,4
BARRA NOVA,22111 VINÍCIUS OLINDA,3
BARRA NOVA,22222 RAFAEL AZEVEDO,3
BARRA NOVA,22888 LEIDIANE CIRÍACO,1
BARRA NOVA,27456 ENFERMEIRA MARCIA,1
BARRA NOVA,40000 VIEIRA DO TIQUINHO,4
BARRA NOVA,40123 BETO RAMIRES,1
BARRA NOVA,45121 MAZE,1
BARRA NOVA,11111 PASTORA HELENA CORDEIRO,1
BARRA NOVA,13567 PROFESSOR OZELITO,2
BARRA NOVA,22333 TAZIA XAVIER,1
BARRA NOVA,44456 JEOVANE DO GÁS,1
GUANACES(CHORO SERROTE),10123 PAULINHO PROMOÇÕES,42
GUANACES(CHORO SERROTE),10456 GLEIDSON DA BOA AGUA,11
GUANACES(CHORO SERROTE),10777 PAULO DA JUDITE,5
GUANACES(CHORO SERROTE),10789 FLÁVIO CASCAVELENSE,51
GUANACES(CHORO SERROTE),11000 FREITAS DA SAÚDE,29
GUANACES(CHORO SERROTE),11222 SEBASTIÃO UCHÔA,3
GUANACES(CHORO SERROTE),11444 EVILÁSIO DANTAS,4
GUANACES(CHORO SERROTE),12888 NETO POLI,5
GUANACES(CHORO SERROTE),13123 PROFESSOR ADEILDO,7
GUANACES(CHORO SERROTE),13222 FÁBIA NAPOLEAO,1
GUANACES(CHORO SERROTE),13789 PROFESSOR ERIVAN,18
GUANACES(CHORO SERROTE),22000 CLAUDEMIR TOCA FOGO,5
GUANACES(CHORO SERROTE),22111 VINÍCIUS OLINDA,56
GUANACES(CHORO SERROTE),22555 RAFAEL OLIVEIRA,45
GUANACES(CHORO SERROTE),27000 LAURO CARDOSO,1
GUANACES(CHORO SERROTE),27888 MARCELO DO PAREDÃO,2
GUANACES(CHORO SERROTE),28123 PRISCILA LIMA,20
GUANACES(CHORO SERROTE),28777 CLENILDO QUEIROZ,3
GUANACES(CHORO SERROTE),28888 VALDECIR,16
GUANACES(CHORO SERROTE),40000 VIEIRA DO TIQUINHO,4
GUANACES(CHORO SERROTE),40123 BETO RAMIRES,45
GUANACES(CHORO SERROTE),40555 NOVO CONSTRUÇÃO,12
GUANACES(CHORO SERROTE),44111 DODÓ,2
GUANACES(CHORO SERROTE),70000 RONALDO FEITOSA,8
GUANACES(CHORO SERROTE),10000 LUZIANE DO MUCURA,1
GUANACES(CHORO SERROTE),10222 MICHAEL SULLYVAN,2
GUANACES(CHORO SERROTE),22888 LEIDIANE CIRÍACO,1
GUANACES(CHORO SERROTE),27123 MARCIO RABELO,1
GUANACES(CHORO SERROTE),44123 GAVIÃO SILVA,1
GUANACES(CHORO SERROTE),44567 NETO DANTAS,1
GUANACES(CHORO SERROTE),44789 LUCIÉDSON FREITAS,3
GUANACES(CHORO SERROTE),45444 PALOMA DELRIO,2
GUANACES(CHORO SERROTE),45678 JUNIOR DO ZE AIRTON,1
GUANACES(CHORO SERROTE),45777 BRUMARK,1
GUANACES(CHORO SERROTE),70555 HELENA PORFÍRIO,4
BESSALANDIA,10000 LUZIANE DO MUCURA,40
BESSALANDIA,10123 PAULINHO PROMOÇÕES,109
BESSALANDIA,10222 MICHAEL SULLYVAN,2
BESSALANDIA,10456 GLEIDSON DA BOA AGUA,45
BESSALANDIA,10555 PROFESSORA ADRIANA,5
BESSALANDIA,10777 PAULO DA JUDITE,86
BESSALANDIA,10789 FLÁVIO CASCAVELENSE,61
BESSALANDIA,11000 FREITAS DA SAÚDE,85
BESSALANDIA,11222 SEBASTIÃO UCHÔA,27
BESSALANDIA,11777 DIONES LIMA,4
BESSALANDIA,11789 EDUARDO CRUZ,12
BESSALANDIA,11888 SÉRGIO DO TANGA,2
BESSALANDIA,12111 CRISTIANE GOMES,4
BESSALANDIA,12123 NENEM DA VIUVA,32
BESSALANDIA,12777 VITORIA MARTINS,14
BESSALANDIA,12888 NETO POLI,29
BESSALANDIA,13000 MARIA JÔ,6
BESSALANDIA,13123 PROFESSOR ADEILDO,53
BESSALANDIA,13222 FÁBIA NAPOLEAO,24
BESSALANDIA,13444 TIAGO ROCHA,85
BESSALANDIA,13789 PROFESSOR ERIVAN,44
BESSALANDIA,18000 PROFESSOR JOSÉ BESOURO,10
BESSALANDIA,18133 ANIZIA,3
BESSALANDIA,18400 UELITON FARIAS,6
BESSALANDIA,20333 CELIA DAS MARIAS,3
BESSALANDIA,22000 CLAUDEMIR TOCA FOGO,41
BESSALANDIA,22100 NÚBIA DO ABRIGO MASCOTINHO,64
BESSALANDIA,22111 VINÍCIUS OLINDA,40
BESSALANDIA,22222 RAFAEL AZEVEDO,44
BESSALANDIA,22333 TAZIA XAVIER,5
BESSALANDIA,22444 EDILENE QUEROGA,20
BESSALANDIA,22555 RAFAEL OLIVEIRA,12
BESSALANDIA,22888 LEIDIANE CIRÍACO,16
BESSALANDIA,22999 PITANGA DA FUNERÁRIA,32
BESSALANDIA,27000 LAURO CARDOSO,25
BESSALANDIA,27123 MARCIO RABELO,122
BESSALANDIA,27456 ENFERMEIRA MARCIA,42
BESSALANDIA,27888 MARCELO DO PAREDÃO,27
BESSALANDIA,28007 JOSUÉ CORREIA,22
BESSALANDIA,28123 PRISCILA LIMA,94
BESSALANDIA,28777 CLENILDO QUEIROZ,13
BESSALANDIA,28888 VALDECIR,51
BESSALANDIA,40000 VIEIRA DO TIQUINHO,66
BESSALANDIA,40111 ALLISON CAMILO,18
BESSALANDIA,40123 BETO RAMIRES,39
BESSALANDIA,40444 ADONIAS DO TURISMO,16
BESSALANDIA,40555 NOVO CONSTRUÇÃO,79
BESSALANDIA,44000 OLIVEIRA SILVA,23
BESSALANDIA,44111 DODÓ,3
BESSALANDIA,44123 GAVIÃO SILVA,13
BESSALANDIA,44444 KEKEU DO MUCURA,30
BESSALANDIA,44555 LURDENIS VIEIRA,32
BESSALANDIA,44789 LUCIÉDSON FREITAS,29
BESSALANDIA,45111 BAMBAM DAS PEGADINHAS,4
BESSALANDIA,45112 LUCIANA,5
BESSALANDIA,45121 MAZE,1
BESSALANDIA,45444 PALOMA DELRIO,18
BESSALANDIA,45555 FRANCISCO DO BALBINO,25
BESSALANDIA,45678 JUNIOR DO ZE AIRTON,9
BESSALANDIA,45777 BRUMARK,20
BESSALANDIA,45888 ZE DO JORNAL,7
BESSALANDIA,70888 DINIZ,10
BESSALANDIA,11234 TIA LURDES,3
BESSALANDIA,12555 HELIO ALEGRIA,1
BESSALANDIA,13567 PROFESSOR OZELITO,4
BESSALANDIA,27111 DIEGO MARADONA,7
BESSALANDIA,27555 FAFA,1
BESSALANDIA,27777 SERGINHO PARATLETA,8
BESSALANDIA,28124 MARLY DO BENJAMIN,2
BESSALANDIA,28456 HAVAGARDO SILVA,3
BESSALANDIA,28555 DR RUBENS,2
BESSALANDIA,40222 NETA FREITAS,7
BESSALANDIA,40789 GIRLANE DO CEDRO,3
BESSALANDIA,44567 NETO DANTAS,14
BESSALANDIA,44900 SHEIK DO DR BRUNO,3
BESSALANDIA,45000 MAJU,1
BESSALANDIA,45222 YURI MOTA,5
BESSALANDIA,45789 PATRICIA,3
BESSALANDIA,70133 LEILDA LELÊ,1
BESSALANDIA,70555 HELENA PORFÍRIO,3
BESSALANDIA,10333 DAVID GARCÊS,14
BESSALANDIA,11111 PASTORA HELENA CORDEIRO,8
BESSALANDIA,27333 GALILEU,1
BESSALANDIA,27999 JUNIOR GENRO JULIO,4
BESSALANDIA,28000 VLADIA DE OLIVEIRA,1
BESSALANDIA,28028 MAILSON,13
BESSALANDIA,28111 JORGE RODRIGUES,3
BESSALANDIA,44456 JEOVANE DO GÁS,9
BESSALANDIA,45234 ALZANIR,6
BESSALANDIA,10610 KINZINHO DO VOLMIR,3
BESSALANDIA,18777 FABIO MARTINS,1
BESSALANDIA,20777 CLAUDIA MARIA,1
BESSALANDIA,11444 EVILÁSIO DANTAS,3
BESSALANDIA,18024 JOJO,2
BESSALANDIA,18444 ELIANE,2
BESSALANDIA,44333 ELISANGELA SILVA,2
BESSALANDIA,70000 RONALDO FEITOSA,1
BESSALANDIA,10111 PROFESSORA NONATA COSTA,1
BESSALANDIA,12345 DR GUTEMBERG,2
BESSALANDIA,22777 GUI DA PADARIA,2
BESSALANDIA,28333 ADILENE NOBRE,4
BESSALANDIA,70123 LU MAIA,1
BESSALANDIA,11999 JAIRO TAXISTA,1
BESSALANDIA,28666 FANTIQUIM,1
BESSALANDIA,40456 JORDANA BRAGA,1
BESSALANDIA,44222 LALÁ,1
PITOMBEIRAS(CRISTAIS),10000 LUZIANE DO MUCURA,2
PITOMBEIRAS(CRISTAIS),10333 DAVID GARCÊS,7
PITOMBEIRAS(CRISTAIS),10456 GLEIDSON DA BOA AGUA,28
PITOMBEIRAS(CRISTAIS),10777 PAULO DA JUDITE,1
PITOMBEIRAS(CRISTAIS),12123 NENEM DA VIUVA,1
PITOMBEIRAS(CRISTAIS),12345 DR GUTEMBERG,3
PITOMBEIRAS(CRISTAIS),12888 NETO POLI,1
PITOMBEIRAS(CRISTAIS),13000 MARIA JÔ,1
PITOMBEIRAS(CRISTAIS),13123 PROFESSOR ADEILDO,59
PITOMBEIRAS(CRISTAIS),13444 TIAGO ROCHA,127
PITOMBEIRAS(CRISTAIS),22999 PITANGA DA FUNERÁRIA,7
PITOMBEIRAS(CRISTAIS),28777 CLENILDO QUEIROZ,12
PITOMBEIRAS(CRISTAIS),28888 VALDECIR,133
PITOMBEIRAS(CRISTAIS),40789 GIRLANE DO CEDRO,7
PITOMBEIRAS(CRISTAIS),40888 ENFERMEIRA NATECIA,8
PITOMBEIRAS(CRISTAIS),44567 NETO DANTAS,5
PITOMBEIRAS(CRISTAIS),44789 LUCIÉDSON FREITAS,3
PITOMBEIRAS(CRISTAIS),10789 FLÁVIO CASCAVELENSE,3
PITOMBEIRAS(CRISTAIS),11888 SÉRGIO DO TANGA,1
PITOMBEIRAS(CRISTAIS),13222 FÁBIA NAPOLEAO,1
PITOMBEIRAS(CRISTAIS),18888 PROFESSOR SILVESTRE,1
PITOMBEIRAS(CRISTAIS),20444 DR MARCIO OLIVEIRA ADVOGADO,1
PITOMBEIRAS(CRISTAIS),22111 VINÍCIUS OLINDA,1
PITOMBEIRAS(CRISTAIS),28123 PRISCILA LIMA,1
PITOMBEIRAS(CRISTAIS),40555 NOVO CONSTRUÇÃO,1
PITOMBEIRAS(CRISTAIS),70100 RUBENILTON,1
ÁGUAS BELAS,10000 LUZIANE DO MUCURA,2
ÁGUAS BELAS,10123 PAULINHO PROMOÇÕES,3
ÁGUAS BELAS,10610 KINZINHO DO VOLMIR,4
ÁGUAS BELAS,10789 FLÁVIO CASCAVELENSE,2
ÁGUAS BELAS,11000 FREITAS DA SAÚDE,2
ÁGUAS BELAS,11190 MAGALY MORAIS,4
ÁGUAS BELAS,11222 SEBASTIÃO UCHÔA,4
ÁGUAS BELAS,11666 LIBERATO FILHO,44
ÁGUAS BELAS,12123 NENEM DA VIUVA,4
ÁGUAS BELAS,12777 VITORIA MARTINS,1
ÁGUAS BELAS,13123 PROFESSOR ADEILDO,2
ÁGUAS BELAS,13222 FÁBIA NAPOLEAO,2
ÁGUAS BELAS,13444 TIAGO ROCHA,5
ÁGUAS BELAS,13789 PROFESSOR ERIVAN,10
ÁGUAS BELAS,22100 NÚBIA DO ABRIGO MASCOTINHO,2
ÁGUAS BELAS,22111 VINÍCIUS OLINDA,2
ÁGUAS BELAS,22333 TAZIA XAVIER,4
ÁGUAS BELAS,22999 PITANGA DA FUNERÁRIA,1
ÁGUAS BELAS,27888 MARCELO DO PAREDÃO,16
ÁGUAS BELAS,27999 JUNIOR GENRO JULIO,135
ÁGUAS BELAS,28666 FANTIQUIM,7
ÁGUAS BELAS,28777 CLENILDO QUEIROZ,1
ÁGUAS BELAS,28888 VALDECIR,18
ÁGUAS BELAS,40000 VIEIRA DO TIQUINHO,1
ÁGUAS BELAS,40111 ALLISON CAMILO,11
ÁGUAS BELAS,40123 BETO RAMIRES,2
ÁGUAS BELAS,40444 ADONIAS DO TURISMO,234
ÁGUAS BELAS,40555 NOVO CONSTRUÇÃO,14
ÁGUAS BELAS,44789 LUCIÉDSON FREITAS,3
ÁGUAS BELAS,45000 MAJU,7
ÁGUAS BELAS,45555 FRANCISCO DO BALBINO,6
ÁGUAS BELAS,10777 PAULO DA JUDITE,1
ÁGUAS BELAS,11999 JAIRO TAXISTA,1
ÁGUAS BELAS,22000 CLAUDEMIR TOCA FOGO,2
ÁGUAS BELAS,28123 PRISCILA LIMA,3
BARRA VELHA,10000 LUZIANE DO MUCURA,4
BARRA VELHA,10123 PAULINHO PROMOÇÕES,14
BARRA VELHA,10222 MICHAEL SULLYVAN,1
BARRA VELHA,10456 GLEIDSON DA BOA AGUA,3
BARRA VELHA,10777 PAULO DA JUDITE,6
BARRA VELHA,10789 FLÁVIO CASCAVELENSE,10
BARRA VELHA,11000 FREITAS DA SAÚDE,21
BARRA VELHA,11111 PASTORA HELENA CORDEIRO,1
BARRA VELHA,11222 SEBASTIÃO UCHÔA,57
BARRA VELHA,12888 NETO POLI,4
BARRA VELHA,13123 PROFESSOR ADEILDO,22
BARRA VELHA,13444 TIAGO ROCHA,26
BARRA VELHA,22000 CLAUDEMIR TOCA FOGO,8
BARRA VELHA,22100 NÚBIA DO ABRIGO MASCOTINHO,1
BARRA VELHA,22777 GUI DA PADARIA,2
BARRA VELHA,27000 LAURO CARDOSO,6
BARRA VELHA,27888 MARCELO DO PAREDÃO,23
BARRA VELHA,27999 JUNIOR GENRO JULIO,29
BARRA VELHA,28007 JOSUÉ CORREIA,3
BARRA VELHA,28123 PRISCILA LIMA,11
BARRA VELHA,28777 CLENILDO QUEIROZ,2
BARRA VELHA,40000 VIEIRA DO TIQUINHO,7
BARRA VELHA,40111 ALLISON CAMILO,2
BARRA VELHA,40123 BETO RAMIRES,2
BARRA VELHA,40444 ADONIAS DO TURISMO,18
BARRA VELHA,40555 NOVO CONSTRUÇÃO,10
BARRA VELHA,44000 OLIVEIRA SILVA,18
BARRA VELHA,44444 KEKEU DO MUCURA,8
BARRA VELHA,44456 JEOVANE DO GÁS,1
BARRA VELHA,44555 LURDENIS VIEIRA,6
BARRA VELHA,44789 LUCIÉDSON FREITAS,5
BARRA VELHA,45555 FRANCISCO DO BALBINO,2
BARRA VELHA,45678 JUNIOR DO ZE AIRTON,3
BARRA VELHA,70123 LU MAIA,1
BARRA VELHA,11666 LIBERATO FILHO,1
BARRA VELHA,13222 FÁBIA NAPOLEAO,1
BARRA VELHA,13567 PROFESSOR OZELITO,4
BARRA VELHA,13789 PROFESSOR ERIVAN,3
BARRA VELHA,22111 VINÍCIUS OLINDA,1
BARRA VELHA,22555 RAFAEL OLIVEIRA,1
BARRA VELHA,27123 MARCIO RABELO,1
BARRA VELHA,28888 VALDECIR,1
BARRA VELHA,44123 GAVIÃO SILVA,1
BARRA VELHA,44567 NETO DANTAS,1
BARRA VELHA,45888 ZE DO JORNAL,1
CAMURIM,10000 LUZIANE DO MUCURA,7
CAMURIM,10123 PAULINHO PROMOÇÕES,18
CAMURIM,10333 DAVID GARCÊS,12
CAMURIM,10456 GLEIDSON DA BOA AGUA,6
CAMURIM,10610 KINZINHO DO VOLMIR,3
CAMURIM,10777 PAULO DA JUDITE,17
CAMURIM,11000 FREITAS DA SAÚDE,20
CAMURIM,11222 SEBASTIÃO UCHÔA,8
CAMURIM,11666 LIBERATO FILHO,2
CAMURIM,11999 JAIRO TAXISTA,2
CAMURIM,12555 HELIO ALEGRIA,2
CAMURIM,12777 VITORIA MARTINS,11
CAMURIM,12888 NETO POLI,47
CAMURIM,13123 PROFESSOR ADEILDO,25
CAMURIM,13444 TIAGO ROCHA,29
CAMURIM,13789 PROFESSOR ERIVAN,15
CAMURIM,22000 CLAUDEMIR TOCA FOGO,7
CAMURIM,22100 NÚBIA DO ABRIGO MASCOTINHO,4
CAMURIM,22111 VINÍCIUS OLINDA,20
CAMURIM,22222 RAFAEL AZEVEDO,3
CAMURIM,22444 EDILENE QUEROGA,2
CAMURIM,22999 PITANGA DA FUNERÁRIA,4
CAMURIM,27123 MARCIO RABELO,8
CAMURIM,27456 ENFERMEIRA MARCIA,5
CAMURIM,27888 MARCELO DO PAREDÃO,16
CAMURIM,27999 JUNIOR GENRO JULIO,41
CAMURIM,28123 PRISCILA LIMA,23
CAMURIM,28666 FANTIQUIM,13
CAMURIM,28888 VALDECIR,12
CAMURIM,40000 VIEIRA DO TIQUINHO,11
CAMURIM,40111 ALLISON CAMILO,8
CAMURIM,40123 BETO RAMIRES,35
CAMURIM,40222 NETA FREITAS,1
CAMURIM,40444 ADONIAS DO TURISMO,51
CAMURIM,40555 NOVO CONSTRUÇÃO,3
CAMURIM,40789 GIRLANE DO CEDRO,7
CAMURIM,44000 OLIVEIRA SILVA,4
CAMURIM,44123 GAVIÃO SILVA,3
CAMURIM,44444 KEKEU DO MUCURA,7
CAMURIM,44555 LURDENIS VIEIRA,16
CAMURIM,44567 NETO DANTAS,8
CAMURIM,44789 LUCIÉDSON FREITAS,17
CAMURIM,45000 MAJU,29
CAMURIM,45121 MAZE,1
CAMURIM,45555 FRANCISCO DO BALBINO,36
CAMURIM,45678 JUNIOR DO ZE AIRTON,2
CAMURIM,70100 RUBENILTON,2
CAMURIM,10111 PROFESSORA NONATA COSTA,3
CAMURIM,10555 PROFESSORA ADRIANA,1
CAMURIM,10789 FLÁVIO CASCAVELENSE,4
CAMURIM,11789 EDUARDO CRUZ,1
CAMURIM,13456 ENFERMEIRA LEUDA CARVALHO,4
CAMURIM,13567 PROFESSOR OZELITO,2
CAMURIM,27000 LAURO CARDOSO,7
CAMURIM,45111 BAMBAM DAS PEGADINHAS,1
CAMURIM,12123 NENEM DA VIUVA,1
CAMURIM,12789 DAYANE,1
CAMURIM,28111 JORGE RODRIGUES,1
CAMURIM,40888 ENFERMEIRA NATECIA,1
CAMURIM,45123 DUDU DA CAPONGA,1
RIO NOVO,10000 LUZIANE DO MUCURA,94
RIO NOVO,10123 PAULINHO PROMOÇÕES,208
RIO NOVO,10333 DAVID GARCÊS,37
RIO NOVO,10456 GLEIDSON DA BOA AGUA,76
RIO NOVO,10610 KINZINHO DO VOLMIR,3
RIO NOVO,10777 PAULO DA JUDITE,181
RIO NOVO,10789 FLÁVIO CASCAVELENSE,190
RIO NOVO,11000 FREITAS DA SAÚDE,306
RIO NOVO,11111 PASTORA HELENA CORDEIRO,39
RIO NOVO,11222 SEBASTIÃO UCHÔA,58
RIO NOVO,11666 LIBERATO FILHO,5
RIO NOVO,11789 EDUARDO CRUZ,23
RIO NOVO,11888 SÉRGIO DO TANGA,12
RIO NOVO,12123 NENEM DA VIUVA,55
RIO NOVO,12555 HELIO ALEGRIA,18
RIO NOVO,12777 VITORIA MARTINS,12
RIO NOVO,12888 NETO POLI,87
RIO NOVO,13123 PROFESSOR ADEILDO,110
RIO NOVO,13222 FÁBIA NAPOLEAO,66
RIO NOVO,13444 TIAGO ROCHA,115
RIO NOVO,13456 ENFERMEIRA LEUDA CARVALHO,6
RIO NOVO,13789 PROFESSOR ERIVAN,67
RIO NOVO,18209 EDNILDA,2
RIO NOVO,18713 JERUSALEM,5
RIO NOVO,18777 FABIO MARTINS,20
RIO NOVO,20333 CELIA DAS MARIAS,7
RIO NOVO,22000 CLAUDEMIR TOCA FOGO,102
RIO NOVO,22100 NÚBIA DO ABRIGO MASCOTINHO,131
RIO NOVO,22111 VINÍCIUS OLINDA,83
RIO NOVO,22222 RAFAEL AZEVEDO,57
RIO NOVO,22555 RAFAEL OLIVEIRA,16
RIO NOVO,22777 GUI DA PADARIA,13
RIO NOVO,22888 LEIDIANE CIRÍACO,37
RIO NOVO,22999 PITANGA DA FUNERÁRIA,66
RIO NOVO,27000 LAURO CARDOSO,65
RIO NOVO,27123 MARCIO RABELO,105
RIO NOVO,27456 ENFERMEIRA MARCIA,82
RIO NOVO,27888 MARCELO DO PAREDÃO,51
RIO NOVO,27999 JUNIOR GENRO JULIO,18
RIO NOVO,28007 JOSUÉ CORREIA,36
RIO NOVO,28028 MAILSON,8
RIO NOVO,28111 JORGE RODRIGUES,23
RIO NOVO,28123 PRISCILA LIMA,173
RIO NOVO,28124 MARLY DO BENJAMIN,30
RIO NOVO,28777 CLENILDO QUEIROZ,31
RIO NOVO,28888 VALDECIR,131
RIO NOVO,40000 VIEIRA DO TIQUINHO,185
RIO NOVO,40111 ALLISON CAMILO,29
RIO NOVO,40123 BETO RAMIRES,83
RIO NOVO,40444 ADONIAS DO TURISMO,34
RIO NOVO,40555 NOVO CONSTRUÇÃO,321
RIO NOVO,44000 OLIVEIRA SILVA,32
RIO NOVO,44111 DODÓ,4
RIO NOVO,44123 GAVIÃO SILVA,64
RIO NOVO,44222 LALÁ,22
RIO NOVO,44444 KEKEU DO MUCURA,89
RIO NOVO,44456 JEOVANE DO GÁS,10
RIO NOVO,44555 LURDENIS VIEIRA,64
RIO NOVO,44567 NETO DANTAS,58
RIO NOVO,44789 LUCIÉDSON FREITAS,52
RIO NOVO,44900 SHEIK DO DR BRUNO,21
RIO NOVO,45112 LUCIANA,8
RIO NOVO,45121 MAZE,22
RIO NOVO,45234 ALZANIR,2
RIO NOVO,45444 PALOMA DELRIO,19
RIO NOVO,45555 FRANCISCO DO BALBINO,51
RIO NOVO,45678 JUNIOR DO ZE AIRTON,16
RIO NOVO,45777 BRUMARK,57
RIO NOVO,10222 MICHAEL SULLYVAN,5
RIO NOVO,11234 TIA LURDES,1
RIO NOVO,11444 EVILÁSIO DANTAS,10
RIO NOVO,13000 MARIA JÔ,9
RIO NOVO,13567 PROFESSOR OZELITO,1
RIO NOVO,18133 ANIZIA,1
RIO NOVO,18400 UELITON FARIAS,4
RIO NOVO,22300 GILBERTO DA MANGABEIRA,5
RIO NOVO,22444 EDILENE QUEROGA,13
RIO NOVO,28333 ADILENE NOBRE,4
RIO NOVO,28555 DR RUBENS,9
RIO NOVO,28666 FANTIQUIM,5
RIO NOVO,40789 GIRLANE DO CEDRO,9
RIO NOVO,45111 BAMBAM DAS PEGADINHAS,18
RIO NOVO,45123 DUDU DA CAPONGA,5
RIO NOVO,45888 ZE DO JORNAL,18
RIO NOVO,70555 HELENA PORFÍRIO,12
RIO NOVO,12345 DR GUTEMBERG,1
RIO NOVO,12789 DAYANE,7
RIO NOVO,18888 PROFESSOR SILVESTRE,1
RIO NOVO,28000 VLADIA DE OLIVEIRA,1
RIO NOVO,70000 RONALDO FEITOSA,3
RIO NOVO,11777 DIONES LIMA,6
RIO NOVO,11999 JAIRO TAXISTA,2
RIO NOVO,27111 DIEGO MARADONA,4
RIO NOVO,40222 NETA FREITAS,3
RIO NOVO,40456 JORDANA BRAGA,3
RIO NOVO,22333 TAZIA XAVIER,5
RIO NOVO,27777 SERGINHO PARATLETA,15
RIO NOVO,45000 MAJU,4
RIO NOVO,40888 ENFERMEIRA NATECIA,1
RIO NOVO,45222 YURI MOTA,12
RIO NOVO,70123 LU MAIA,2
RIO NOVO,10555 PROFESSORA ADRIANA,2
RIO NOVO,11123 DALVA DO MANGUINHOS,1
RIO NOVO,18000 PROFESSOR JOSÉ BESOURO,2
RIO NOVO,70133 LEILDA LELÊ,2
RIO NOVO,18666 DR AURÉLIO,2
RIO NOVO,20456 VERA DANTAS,2
RIO NOVO,22678 PASTORA PATRÍCIA,1
RIO NOVO,18024 JOJO,4
RIO NOVO,70100 RUBENILTON,2
RIO NOVO,27555 FAFA,1
RIO NOVO,10111 PROFESSORA NONATA COSTA,1
RIO NOVO,12012 MARIANGELA,2
RIO NOVO,12111 CRISTIANE GOMES,1
RIO NOVO,70888 DINIZ,1
RIO NOVO,18111 SILVIA DECORAÇÕES,3
RIO NOVO,18555 TICO,1
RIO NOVO,27007 SAMIA REGIS,2
RIO NOVO,18999 PROFESSOR BOSCO,1
MATA QUIRI,10000 LUZIANE DO MUCURA,37
MATA QUIRI,10123 PAULINHO PROMOÇÕES,8
MATA QUIRI,10333 DAVID GARCÊS,4
MATA QUIRI,10456 GLEIDSON DA BOA AGUA,14
MATA QUIRI,10777 PAULO DA JUDITE,19
MATA QUIRI,10789 FLÁVIO CASCAVELENSE,50
MATA QUIRI,11000 FREITAS DA SAÚDE,9
MATA QUIRI,11111 PASTORA HELENA CORDEIRO,5
MATA QUIRI,11222 SEBASTIÃO UCHÔA,5
MATA QUIRI,12123 NENEM DA VIUVA,2
MATA QUIRI,12888 NETO POLI,14
MATA QUIRI,13123 PROFESSOR ADEILDO,17
MATA QUIRI,13222 FÁBIA NAPOLEAO,16
MATA QUIRI,13444 TIAGO ROCHA,9
MATA QUIRI,13789 PROFESSOR ERIVAN,7
MATA QUIRI,18777 FABIO MARTINS,1
MATA QUIRI,18999 PROFESSOR BOSCO,14
MATA QUIRI,22000 CLAUDEMIR TOCA FOGO,5
MATA QUIRI,22100 NÚBIA DO ABRIGO MASCOTINHO,1
MATA QUIRI,22111 VINÍCIUS OLINDA,13
MATA QUIRI,22888 LEIDIANE CIRÍACO,3
MATA QUIRI,22999 PITANGA DA FUNERÁRIA,3
MATA QUIRI,27000 LAURO CARDOSO,2
MATA QUIRI,27123 MARCIO RABELO,15
MATA QUIRI,27888 MARCELO DO PAREDÃO,9
MATA QUIRI,27999 JUNIOR GENRO JULIO,2
MATA QUIRI,28007 JOSUÉ CORREIA,4
MATA QUIRI,28111 JORGE RODRIGUES,6
MATA QUIRI,28123 PRISCILA LIMA,14
MATA QUIRI,28124 MARLY DO BENJAMIN,1
MATA QUIRI,28456 HAVAGARDO SILVA,2
MATA QUIRI,28888 VALDECIR,29
MATA QUIRI,40000 VIEIRA DO TIQUINHO,16
MATA QUIRI,40111 ALLISON CAMILO,1
MATA QUIRI,40123 BETO RAMIRES,5
MATA QUIRI,40555 NOVO CONSTRUÇÃO,18
MATA QUIRI,44444 KEKEU DO MUCURA,1
MATA QUIRI,44555 LURDENIS VIEIRA,10
MATA QUIRI,44567 NETO DANTAS,10
MATA QUIRI,44789 LUCIÉDSON FREITAS,4
MATA QUIRI,45121 MAZE,1
MATA QUIRI,45222 YURI MOTA,3
MATA QUIRI,45678 JUNIOR DO ZE AIRTON,1
MATA QUIRI,45777 BRUMARK,34
MATA QUIRI,11777 DIONES LIMA,1
MATA QUIRI,18111 SILVIA DECORAÇÕES,1
MATA QUIRI,22222 RAFAEL AZEVEDO,1
MATA QUIRI,22444 EDILENE QUEROGA,1
MATA QUIRI,22678 PASTORA PATRÍCIA,1
MATA QUIRI,28028 MAILSON,1
MATA QUIRI,28777 CLENILDO QUEIROZ,1
MATA QUIRI,44000 OLIVEIRA SILVA,1
MATA QUIRI,44123 GAVIÃO SILVA,2
MATA QUIRI,44456 JEOVANE DO GÁS,1
MATA QUIRI,44777 NILDE BORGES,1
MATA QUIRI,45000 MAJU,1
TIJUCUSSU 2,10000 LUZIANE DO MUCURA,45
TIJUCUSSU 2,10111 PROFESSORA NONATA COSTA,2
TIJUCUSSU 2,10123 PAULINHO PROMOÇÕES,11
TIJUCUSSU 2,10456 GLEIDSON DA BOA AGUA,5
TIJUCUSSU 2,10777 PAULO DA JUDITE,8
TIJUCUSSU 2,10789 FLÁVIO CASCAVELENSE,30
TIJUCUSSU 2,11000 FREITAS DA SAÚDE,20
TIJUCUSSU 2,11222 SEBASTIÃO UCHÔA,11
TIJUCUSSU 2,11666 LIBERATO FILHO,1
TIJUCUSSU 2,11789 EDUARDO CRUZ,8
TIJUCUSSU 2,11999 JAIRO TAXISTA,1
TIJUCUSSU 2,12123 NENEM DA VIUVA,3
TIJUCUSSU 2,12555 HELIO ALEGRIA,2
TIJUCUSSU 2,12777 VITORIA MARTINS,4
